Time,Set Temperature,Ventilation Temperature,Supply Air Temperature,Supply Fan,Valve Position,Heating Supply Temperature 1,Heating Supply Temperature 2,Total Heating Pump,Heating Pump 1,Heating Pump 2,Backup Heating Pump,Labeling,
2024-01-01 14,18,14.91,21.6,0,10,42.65,42.41,2,1,0,1,Fan fault,
2024-01-02 08,18,22.26,25.05,1,10,42.77,42.55,2,1,0,1,Sensor fault,
2024-01-02 09,18,22.51,25.54,1,10,42.88,42.72,2,1,0,1,Sensor fault,
2024-01-02 10,18,22.55,25.61,1,10,42.75,42.7,2,1,0,1,Sensor fault,
2024-01-02 11,18,22.84,25.85,1,10,42.69,42.71,2,1,0,1,Sensor fault,
2024-01-02 12,18,22.14,26.04,0.6,10,42.67,42.88,2,1,0,1,Sensor fault,
2024-01-02 14,18,14.02,23.03,0,10,43.1,42.71,2,1,0,1,Fan fault,
2024-01-02 15,18,13.13,22.11,0,10,42.88,42.78,2,1,0,1,Fan fault,
2024-01-02 16,18,12.75,21.56,0,10,42.75,42.68,2,1,0,1,Fan fault,
2024-01-02 17,18,12.38,21.21,0,10,42.68,42.6,2,1,0,1,Fan fault,
2024-01-02 18,18,14.29,21.27,0,10,43.04,42.66,2,1,0,1,Fan fault,
2024-01-03 07,18,22.47,25.3,1,10,42.64,42.63,2,1,0,1,Sensor fault,
2024-01-03 08,18,22.87,25.78,1,10,42.56,42.74,2,1,0,1,Sensor fault,
2024-01-03 09,18,22.92,25.9,1,10,42.63,42.82,2,1,0,1,Sensor fault,
2024-01-03 10,18,22.75,25.72,1,10,43.12,42.87,2,1,0,1,Sensor fault,
2024-01-03 11,18,23.36,26.22,1,10,42.89,42.81,2,1,0,1,Sensor fault,
2024-01-03 12,18,23.57,26.42,1,10,42.61,40.84,1.54,0.6,0.38,0.56,Sensor fault,
2024-01-03 13,18,23.39,26.29,1,10,43.76,34.79,1.2,0,1,0.2,Sensor fault,
2024-01-03 14,18,23.52,26.45,1,10,44.01,35.5,1,0,1,0,Sensor fault,
2024-01-03 15,18,23.3,26.25,1,10,44.13,39.48,1,0,1,0,Sensor fault,
2024-01-03 16,18,23.28,26.21,1,10,44.11,41.17,1,0,1,0,Sensor fault,
2024-01-03 17,18,23.12,26.07,1,10,44.21,41.91,1,0,1,0,Sensor fault,
2024-01-03 18,18,23.1,26,1,10,44.16,42.25,1,0,1,0,Sensor fault,
2024-01-03 19,18,23.33,26.18,1,10,44.22,42.41,1,0,1,0,Sensor fault,
2024-01-04 01,18,22.63,24.72,1,10,43.05,39.09,2,0,1,1,Sensor fault,
2024-01-04 02,18,22.83,25.44,1,10,43.41,42.47,2,0,1,1,Sensor fault,
2024-01-04 03,18,22.91,25.47,1,10,43.05,42.44,2,0,1,1,Sensor fault,
2024-01-04 04,18,22.92,25.5,1,10,43.04,42.49,2,0,1,1,Sensor fault,
2024-01-04 05,18,22.86,25.41,1,10,43.05,42.48,2,0,1,1,Sensor fault,
2024-01-04 06,18,22.89,25.43,1,10,43,42.41,2,0,1,1,Sensor fault,
2024-01-04 07,18,22.98,25.5,1,10,42.97,42.34,2,0,1,1,Sensor fault,
2024-01-04 08,18,22.95,25.23,1,10,40.39,35.65,2,0,1,1,Sensor fault,
2024-01-04 09,18,22.74,23.8,1,10,27.5,23.91,1.75,0,1,0.75,Sensor fault,
2024-01-04 10,18,21.47,23.98,0.5,10,40.53,22.26,1,0,1,0,Sensor fault,
2024-01-04 12,18,12.59,22.5,0,10,44.01,38.43,1,0,1,0,Fan fault,
2024-01-04 13,18,11.92,21.38,0,10,43.95,40.54,1,0,1,0,Fan fault,
2024-01-04 14,18,11.59,20.94,0,10,43.87,41.36,1,0,1,0,Fan fault,
2024-01-04 15,18,11.59,20.61,0,10,43.8,41.82,1,0,1,0,Fan fault,
2024-01-04 16,18,11.56,20.58,0,10,43.98,42.06,1,0,1,0,Fan fault,
2024-01-04 17,18,11.51,20.4,0,10,44.01,42.25,1,0,1,0,Fan fault,
2024-01-04 18,18,11.48,20.23,0,10,43.95,42.33,1,0,1,0,Fan fault,
2024-01-04 19,18,11.98,20.29,0,10,43.7,42.36,0.75,0,0.75,0,Fan fault,
2024-01-05 08,18,22.63,25.2,1,10,44.42,30.92,1,0,1,0,Sensor fault,
2024-01-05 09,18,21.46,26.02,0.4,10,43.91,38.32,1,0,1,0,Sensor fault,
2024-01-05 11,18,14.42,23.22,0,10,43.83,41.46,1,0,1,0,Fan fault,
2024-01-05 12,18,13.49,22.39,0,10,43.76,41.89,1,0,1,0,Fan fault,
2024-01-05 13,18,13.08,21.92,0,10,43.83,42.1,1,0,1,0,Fan fault,
2024-01-05 14,18,13.6,21.72,0,10,43.57,42.18,1,0,1,0,Fan fault,
2024-01-05 15,18,13.64,21.75,0,10,43.82,42.2,1,0,1,0,Fan fault,
2024-01-05 16,18,13.24,21.63,0,10,44.04,42.35,1,0,1,0,Fan fault,
2024-01-05 17,18,13.21,21.51,0,10,43.77,42.47,1,0,1,0,Fan fault,
2024-01-05 18,18,13.03,21.44,0,10,43.83,42.52,1,0,1,0,Fan fault,
2024-01-05 19,18,12.97,21.2,0,10,43.99,42.55,1.25,0,1,0.25,Fan fault,
2024-01-06 05,18,22.16,24.74,1,10,42.31,42.45,2,0,1,1,Sensor fault,
2024-01-06 06,18,22.49,25.17,1,10,42.97,42.09,2,0,1,1,Sensor fault,
2024-01-06 07,18,22.63,25.35,1,10,42.76,42.35,2,0,1,1,Sensor fault,
2024-01-06 08,18,22.74,25.36,1,10,42.72,41.13,1.5,0,1,0.5,Sensor fault,
2024-01-06 09,18,22.88,25.46,1,10,43.39,41.03,1,0,1,0,Sensor fault,
2024-01-06 10,18,23.05,25.74,1,10,43.26,41.43,1,0,1,0,Sensor fault,
2024-01-06 11,18,21.82,25.41,0.5,10,43.14,41.52,1,0,1,0,Sensor fault,
2024-01-07 07,18,22.21,24.72,1,10,43.07,42.52,2,0,1,1,Sensor fault,
2024-01-07 08,18,22.8,25.42,1,10,42.6,41.32,1.75,0,1,0.75,Sensor fault,
2024-01-07 09,18,22.97,24.99,1,10,37.16,32.61,1.5,0,1,0.5,Sensor fault,
2024-01-07 10,18,22.68,23.67,1,10,28.3,24.84,2,0,1,1,Sensor fault,
2024-01-07 11,18,22.76,24.15,1,10,35.87,33.63,2,0,1,1,Sensor fault,
2024-01-07 12,18,23.31,25.54,1,10,42.46,38.13,2,0,1,1,Sensor fault,
2024-01-07 13,18,23.45,25.43,1,10,40.84,34.46,2,0,1,1,Sensor fault,
2024-01-07 14,18,23.23,24.55,1,10,36.21,32.13,2,0,1,1,Sensor fault,
2024-01-07 15,18,23.4,25.72,1,10,43.07,42.35,2,0,1,1,Sensor fault,
2024-01-07 16,18,23.6,26.08,1,10,43.04,42.84,2,0,1,1,Sensor fault,
2024-01-07 17,18,23.72,26.21,1,10,42.74,42.77,2,0,1,1,Sensor fault,
2024-01-07 18,18,23.72,26.17,1,10,43.04,42.7,2,0,1,1,Sensor fault,
2024-01-07 19,18,23.74,26.15,1,10,43.26,42.77,2,0,1,1,Sensor fault,
2024-01-07 20,18,23.73,26.16,1,10,43.28,42.69,2,0,1,1,Sensor fault,
2024-01-07 21,18,23.79,26.1,1,10,43.3,42.72,2,0,1,1,Sensor fault,
2024-01-07 22,18,23.78,26.1,1,10,43.28,42.73,2,0,1,1,Sensor fault,
2024-01-07 23,18,23.79,26.05,1,10,43.3,42.78,2,0,1,1,Sensor fault,
2024-01-08 00,18,23.77,26.03,1,10,43.28,42.76,2,0,1,1,Sensor fault,
2024-01-08 01,18,23.83,25.99,1,10,43.24,42.8,2,0,1,1,Sensor fault,
2024-01-08 02,18,23.8,26,1,10,43.23,42.8,2,0,1,1,Sensor fault,
2024-01-08 03,18,23.84,26.01,1,10,43.18,42.8,2,0,1,1,Sensor fault,
2024-01-08 04,18,23.79,25.97,1,10,43.19,42.79,2,0,1,1,Sensor fault,
2024-01-08 05,18,23.78,25.91,1,10,43.14,42.86,2,0,1,1,Sensor fault,
2024-01-08 06,18,23.74,25.9,1,10,43.81,43.5,2,0,1,1,Sensor fault,
2024-01-08 07,18,23.56,26.02,1,10,47.69,47.79,2,0,1,1,Sensor fault,
2024-01-08 08,18,23.32,25.88,1,10,48.54,47.7,2,0,1,1,Sensor fault,
2024-01-08 09,18,23.05,25.42,1,10,48.63,44.56,2,0,1,1,Sensor fault,
2024-01-08 10,18,23.35,25.86,1,10,48.84,45.38,1.41,0.2,0.5,0.71,Sensor fault,
2024-01-08 11,18,23.8,26.63,0.6,10,49.84,46.53,1,0,0,1,Sensor fault,
2024-01-08 13,18,13.62,23.29,0,10,45.98,42.8,1,0,0,1,Fan fault,
2024-01-08 14,18,11.91,22.47,0,10,44.92,42.76,1,0,0,1,Fan fault,
2024-01-08 15,18,11.2,21.99,0,10,44.23,42.81,1,0,0,1,Fan fault,
2024-01-08 16,18,11.05,21.7,0,10,43.73,42.77,1,0,0,1,Fan fault,
2024-01-08 17,18,11.24,21.37,0,10,43.2,42.77,1,0,0,1,Fan fault,
2024-01-08 18,18,11.2,21.29,0,10,42.95,42.87,1,0,0,1,Fan fault,
2024-01-08 19,18,11.9,21.24,0,10,42.9,42.82,1,0,0,1,Fan fault,
2024-01-08 22,18,22.7,25.37,0.5,10,43.05,42.6,1,0.25,0,0.75,Sensor fault,
2024-01-09 08,18,22.04,25.05,1,10,42.69,42.72,1,1,0,0,Sensor fault,
2024-01-09 09,18,23.36,26,1,10,42.78,42.75,1,1,0,0,Sensor fault,
2024-01-09 10,18,23.11,25.89,1,10,42.8,42.86,1,1,0,0,Sensor fault,
2024-01-09 11,18,23.37,26.04,1,10,42.85,42.73,1,1,0,0,Sensor fault,
2024-01-09 12,18,23.6,26.25,1,10,42.81,42.76,1,1,0,0,Sensor fault,
2024-01-09 13,18,23.68,26.33,1,10,42.89,42.84,1,1,0,0,Sensor fault,
2024-01-09 14,18,23.87,26.49,1,10,42.88,42.7,1,1,0,0,Sensor fault,
2024-01-09 15,18,24.03,26.64,1,10,42.9,42.96,1,1,0,0,Sensor fault,
2024-01-09 16,18,23.88,26.53,1,10,42.92,42.84,1,1,0,0,Sensor fault,
2024-01-09 17,18,23.96,26.54,1,10,42.9,42.74,1,1,0,0,Sensor fault,
2024-01-09 18,18,23.97,26.53,1,10,42.88,42.74,1,1,0,0,Sensor fault,
2024-01-09 19,18,23.94,26.51,0.6,10,42.82,42.62,1,1,0,0,Sensor fault,
2024-01-10 05,18,23.16,25.55,1,10,42.59,42.72,1,0,0,1,Sensor fault,
2024-01-10 06,18,23.43,25.89,1,10,43.26,42.86,1,0,0,1,Sensor fault,
2024-01-10 07,18,23.56,26.04,1,10,43.02,42.76,1,0,0,1,Sensor fault,
2024-01-10 08,18,23.64,26.1,1,10,42.95,42.86,1,0,0,1,Sensor fault,
2024-01-10 09,18,23.52,25.93,1,10,42.95,42.89,1,0,0,1,Sensor fault,
2024-01-10 10,18,23.37,25.94,0.75,10,42.91,42.45,1,0,0,1,Sensor fault,
2024-01-10 12,18,13.21,22.46,0,10,41.24,39.74,1,0,0,1,Fan fault,
2024-01-10 13,18,12.03,21.6,0,10,40.58,39.75,1,0,0,1,Fan fault,
2024-01-10 14,18,11.51,21.25,0,10,40.18,39.86,1,0,0,1,Fan fault,
2024-01-10 16,18,23.43,25.61,1,10,40.18,39.77,1,0,0,1,Sensor fault,
2024-01-10 17,18,23.27,25.6,1,10,40.45,39.76,1,0,0,1,Sensor fault,
2024-01-10 18,18,23.44,25.63,1,10,40.2,39.8,1,0,0,1,Sensor fault,
2024-01-10 19,18,23.48,25.67,1,10,39.94,39.73,1.17,0.17,0,1,Sensor fault,
2024-01-10 20,18,23.46,25.33,1,10,33.91,48.7,1.5,0,0.5,1,Sensor fault,
2024-01-10 21,18,23.32,24.98,0.75,10,37.42,54.38,1.5,0,1,0.5,Sensor fault,
2024-01-11 08,18,23.06,25.22,1,10,40.82,38.94,1,0,1,0,Sensor fault,
2024-01-11 09,18,23.4,25.68,1,10,40.84,39.05,1,0,1,0,Sensor fault,
2024-01-11 10,18,23.61,25.95,1,10,41,39.03,1,0,1,0,Sensor fault,
2024-01-11 11,18,23.56,25.98,1,10,41.17,38.97,1,0,1,0,Sensor fault,
2024-01-11 12,18,23.6,26.04,1,10,40.99,38.94,1,0,1,0,Sensor fault,
2024-01-11 13,18,23.91,26.31,1,10,41.01,38.9,1,0,1,0,Sensor fault,
2024-01-11 14,18,23.98,26.43,1,10,41.04,38.8,1,0,1,0,Sensor fault,
2024-01-11 17,18,13.73,22.68,0,10,40.72,38.45,1,0,1,0,Fan fault,
2024-01-11 18,18,12.9,21.64,0,10,40.86,38.32,1,0,1,0,Fan fault,
2024-01-11 19,18,12.28,21.06,0,10,38.08,38.12,1,0,0.75,0.25,Fan fault,
2024-01-12 08,18,22.8,25.16,1,10,41.19,37.72,1,0,0,1,Sensor fault,
2024-01-12 09,18,23.04,25.51,1,10,41.12,38.83,1,0,0,1,Sensor fault,
2024-01-12 10,18,22.41,25.55,0.75,10,41.11,39.55,1,0,0,1,Sensor fault,
2024-01-12 12,18,13.34,21.93,0,10,40.87,39.41,1,0,0,1,Fan fault,
2024-01-12 13,18,12.15,20.93,0,10,40.88,39.31,1,0,0,1,Fan fault,
2024-01-12 14,18,11.59,20.45,0,10,40.83,39.16,1,0,0,1,Fan fault,
2024-01-12 15,18,11.45,19.88,0,10,40.73,38.96,1,0,0,1,Fan fault,
2024-01-12 16,18,11.46,19.96,0,10,40.9,39.41,1,0,0,1,Fan fault,
2024-01-12 17,18,11.53,19.95,0,10,40.99,39.92,1,0,0,1,Fan fault,
2024-01-12 18,18,11.53,20.13,0,10,40.98,39.66,1,0,0,1,Fan fault,
2024-01-12 19,18,11.72,20.11,0,10,38.25,39.47,1,0,0,1,Fan fault,
2024-01-13 07,18,14.53,19.26,0,10,23.46,25.36,1,0,0,1,Fan fault,
2024-01-13 08,18,14.38,18.93,0,10,22.93,24.71,1,0,0,1,Fan fault,
2024-01-13 09,18,14.34,18.53,0,10,25.55,24.96,1,0,0,1,Fan fault,
2024-01-13 10,18,14.4,18.97,0,10,41.85,32.27,1,0,0,1,Fan fault,
2024-01-13 11,18,14.69,20.23,0,10,39.42,34.06,1,0,0,1,Fan fault,
2024-01-13 12,18,14.82,20.16,0,10,37.39,34.83,1,0,0,1,Fan fault,
2024-01-13 13,18,14.78,20.13,0,10,35.77,35.04,1,0,0,1,Fan fault,
2024-01-13 14,18,14.99,21.25,0,10,34.38,34.92,1,0,0,1,Fan fault,
2024-01-14 07,18,13.23,17.72,0,10,21.33,22.72,1,0,0,1,Fan fault,
2024-01-14 08,18,13.16,17.47,0,10,20.91,22.25,1,0,0,1,Fan fault,
2024-01-14 09,18,13.11,17.25,0,10,20.48,21.78,1,0,0,1,Fan fault,
2024-01-14 10,18,13.14,16.99,0,10,20.14,21.35,1,0,0,1,Fan fault,
2024-01-14 11,18,13.1,16.75,0,10,19.82,20.92,1,0,0,1,Fan fault,
2024-01-14 12,18,13.08,16.54,0,10,19.85,20.55,1,0,0,1,Fan fault,
2024-01-14 13,18,13,16.52,0,10,19.84,20.28,1,0,0,1,Fan fault,
2024-01-14 14,18,12.9,16.5,0,10,19.78,20.12,1,0,0,1,Fan fault,
2024-01-14 15,18,12.96,16.48,0,10,19.91,19.97,1,0,0,1,Fan fault,
2024-01-14 16,18,12.78,16.43,0,10,19.9,19.87,1,0,0,1,Fan fault,
2024-01-14 17,18,12.84,16.43,0,10,19.73,19.78,1,0,0,1,Fan fault,
2024-01-14 18,18,12.75,16.4,0,10,19.76,19.69,1,0,0,1,Fan fault,
2024-01-14 19,18,12.72,16.38,0,10,19.72,19.61,1,0,0,1,Fan fault,
2024-01-15 06,18,21.63,23.85,1,10,41.16,37.52,1,0,0,1,Sensor fault,
2024-01-15 09,18,21.46,24.36,1,10,46.79,44.39,2,0,1,1,Sensor fault,
2024-01-15 10,18,21.71,24.61,1,10,47,44.75,2,0,1,1,Sensor fault,
2024-01-15 11,18,21.28,24.83,0.75,10,46.23,44.85,1.75,0,0.75,1,Sensor fault,
2024-01-15 12,18,14.36,23.07,0,10,40.72,43.86,1,0,0,1,Fan fault,
2024-01-15 13,18,12.34,23,0.25,10,42.66,42.6,1.25,0,0.25,1,Sensor fault,
2024-01-15 15,18,13.65,22.58,0,10,44.74,43.48,2,0,1,1,Fan fault,
2024-01-15 16,18,11.26,21.68,0,10,44.73,43.2,2,0,1,1,Fan fault,
2024-01-15 17,18,10.98,21.19,0,10,42.81,43.07,1.5,0,0.5,1,Fan fault,
2024-01-15 18,18,11.09,20.52,0,10,41.08,42.32,1,0,0,1,Fan fault,
2024-01-15 19,18,11.47,20.1,0,10,38.01,41.5,1,0,0,1,Fan fault,
2024-01-16 09,18,21.57,24.11,1,10,41.24,38,1,0,0,1,Sensor fault,
2024-01-16 10,18,22.17,24.73,1,10,41.28,38.25,1,0,0,1,Sensor fault,
2024-01-16 11,18,22,25.11,0.6,10,41.24,38.4,1,0,0,1,Sensor fault,
2024-01-16 13,18,12.75,25.52,0,10,41.05,39.76,1,0,0,1,Fan fault,
2024-01-16 14,18,11.46,26.27,0,10,41.08,39.68,1,0,0,1,Fan fault,
2024-01-16 15,18,11.74,26.18,0,10,40.99,39.58,1,0,0,1,Fan fault,
2024-01-16 16,18,11.78,26.01,0,10,41.09,39.54,1,0,0,1,Fan fault,
2024-01-16 17,18,11.15,25.3,0,10,41.19,39.5,0.71,0,0,0.71,Fan fault,
2024-01-16 18,18,11.29,25.03,0,10,40.97,39.4,1,0,0,1,Fan fault,
2024-01-16 19,18,11.63,25.02,0,10,38.7,39.36,1,0,0,1,Fan fault,
2024-01-17 08,18,21.07,23.67,1,10,41.05,37.32,1,0,0,1,Sensor fault,
2024-01-17 09,18,21.74,24.32,1,10,41.28,38.24,1,0,0,1,Sensor fault,
2024-01-17 10,18,22.29,24.82,1,10,41.22,39.05,1,0,0,1,Sensor fault,
2024-01-17 12,18,13.57,22.83,0,10,41.04,38.83,1,0,0,1,Fan fault,
2024-01-17 13,18,11.21,21.54,0,10,40.95,39.32,1,0,0,1,Fan fault,
2024-01-17 14,18,10.23,20.84,0,10,41.05,39.57,1,0,0,1,Fan fault,
2024-01-17 15,18,9.94,20.47,0,10,41.1,39.56,1,0,0,1,Fan fault,
2024-01-17 16,18,9.77,20.39,0,10,41.08,39.57,1,0,0,1,Fan fault,
2024-01-17 17,18,9.87,20.07,0,10,40.96,39.52,1,0,0,1,Fan fault,
2024-01-17 18,18,10.07,19.84,0,10,41,39.49,1,0,0,1,Fan fault,
2024-01-17 19,18,10.25,19.82,0,10,37.64,39.2,1,0,0,1,Fan fault,
2024-01-18 06,18,12.1,17.58,0.25,10,33.54,27.38,1,0,0,1,Sensor fault,
2024-01-18 08,18,21.42,24.18,1,10,41.17,37.6,1,0,0,1,Sensor fault,
2024-01-18 09,18,21.6,24.4,1,10,41.29,38.61,1,0,0,1,Sensor fault,
2024-01-18 10,18,21.83,24.61,1,10,41.19,39.04,1,0,0,1,Sensor fault,
2024-01-18 11,18,22.44,25.12,1,10,41.17,39.3,1,0,0,1,Sensor fault,
2024-01-18 13,18,23.18,25.83,0.75,10,40.93,39.26,1,0,0,1,Sensor fault,
2024-01-18 15,18,13.7,23.84,0,10,40.81,41.65,1,0,1,0,Fan fault,
2024-01-18 16,18,12.36,22.46,0,10,40.7,41.41,1.29,0.29,1,0,Fan fault,
2024-01-18 17,18,11.97,21.31,0,10,40.62,39.55,0.91,0.2,0.71,0,Fan fault,
2024-01-18 18,18,11.74,20.7,0,10,40.57,32.15,1,0,1,0,Fan fault,
2024-01-18 19,18,11.48,20.25,0,10,40.15,32.53,0.91,0.2,0.71,0,Fan fault,
2024-01-19 08,18,21.59,24.45,1,10,40.75,28.48,1,0,1,0,Sensor fault,
2024-01-19 09,18,21.81,24.7,1,10,41.01,29.1,1,0,1,0,Sensor fault,
2024-01-19 10,18,21.93,24.87,1,10,41.01,29.67,1,0,1,0,Sensor fault,
2024-01-19 11,18,22.16,25.07,1,10,40.94,29.97,1,0,1,0,Sensor fault,
2024-01-19 12,18,22.28,25.23,1,10,41.01,30.23,1,0,1,0,Sensor fault,
2024-01-19 14,18,14.44,23.54,0,10,40.79,30.98,1,0,0.75,0.25,Fan fault,
2024-01-19 15,18,12.44,21.77,0,10,40.9,37.76,1,0,0,1,Fan fault,
2024-01-19 16,18,11.81,20.76,0,10,40.81,40.52,1,0,0,1,Fan fault,
2024-01-19 17,18,11.56,20.19,0,10,40.93,40.43,1,0,0,1,Fan fault,
2024-01-19 18,18,11.55,19.83,0,10,40.86,40.24,1,0,0,1,Fan fault,
2024-01-19 19,18,11.49,19.59,0,10,38.34,40.01,1,0,0,1,Fan fault,
2024-01-20 07,18,14.07,19.72,0,10,24.5,26.3,1,0,0,1,Fan fault,
2024-01-20 08,18,13.95,19.37,0,10,23.96,25.65,1,0,0,1,Fan fault,
2024-01-20 09,18,13.7,19.01,0,10,23.43,25.02,1,0,0,1,Fan fault,
2024-01-20 10,18,13.44,18.69,0,10,22.92,24.45,1,0,0,1,Fan fault,
2024-01-20 11,18,13.38,18.42,0,10,22.45,23.95,1,0,0,1,Fan fault,
2024-01-20 12,18,13.29,18.13,0,10,22.03,23.46,1,0,0,1,Fan fault,
2024-01-20 13,18,13.25,17.92,0,10,21.67,23.02,1,0,0,1,Fan fault,
2024-01-20 14,18,13.35,17.63,0,10,21.29,22.55,0.85,0,0.25,0.6,Fan fault,
2024-01-20 15,18,13.21,17.39,0,10,20.97,22.15,1,0,1,0,Fan fault,
2024-01-20 16,18,13.02,17.17,0,10,20.64,21.76,1,0,1,0,Fan fault,
2024-01-20 17,18,12.99,16.99,0,10,20.37,21.43,1.5,0,1,0.5,Fan fault,
2024-01-20 18,18,12.93,16.81,0,10,20.11,21.1,2,0,1,1,Fan fault,
2024-01-20 19,18,12.81,16.66,0,10,19.86,20.81,2,0,1,1,Fan fault,
2024-01-21 07,18,11.88,16.04,0,10,19.83,19.3,1,0,1,0,Fan fault,
2024-01-21 08,18,12,16.07,0,10,19.86,19.25,1,0,1,0,Fan fault,
2024-01-21 09,18,12.27,16.11,0,10,19.82,19.19,1,0,1,0,Fan fault,
2024-01-21 10,18,12.26,16.05,0,10,19.83,19.14,1,0,1,0,Fan fault,
2024-01-21 11,18,12.19,16.04,0,10,19.77,19.09,1,0,1,0,Fan fault,
2024-01-21 12,18,12.35,16.09,0,10,19.84,19.04,1,0,1,0,Fan fault,
2024-01-21 13,18,12.4,16.07,0,10,19.94,18.99,1,0,1,0,Fan fault,
2024-01-21 14,18,12.41,16.1,0,10,19.9,18.96,1,0,0.75,0.25,Fan fault,
2024-01-21 15,18,12.38,16.09,0,10,19.77,18.95,1,0,0,1,Fan fault,
2024-01-21 16,18,12.35,16.1,0,10,19.79,19.93,1,0,0,1,Fan fault,
2024-01-21 17,18,12.34,16.07,0,10,19.83,20.01,1,0,0,1,Fan fault,
2024-01-21 18,18,12.34,16.09,0,10,19.77,19.96,1,0,0,1,Fan fault,
2024-01-21 19,18,12.38,16.12,0,10,19.87,19.92,1,0,0,1,Fan fault,
2024-01-22 07,18,14.62,19.24,0.5,10,41.29,30.16,2,0,1,1,Sensor fault,
2024-01-22 18,20,13.12,23.99,0,10,52.74,49.82,1,0,0,1,Fan fault,
2024-01-22 19,20,10.92,23.03,0,10,51.77,46.13,1,0,0,1,Fan fault,
2024-01-23 07,20,16.72,29.4,0.6,43.75,37.62,47.54,1,0,0,1,Sensor fault,
2024-01-23 08,20,23.5,33.98,1,48.57,45.97,49.95,1.5,0,0.5,1,Sensor fault,
2024-01-23 14,20,12.28,23.62,0,10,53.19,49.93,1,0,0,1,Fan fault,
2024-01-23 15,20,9.36,24.84,0,48.57,51.7,49.88,1.5,0,0.5,1,Fan fault,
2024-01-23 16,20,10.16,31.21,0,100,50.54,49.46,2,0,1,1,Fan fault,
2024-01-23 17,20,10.5,33.63,0,100,50.38,49.5,1.8,0,0.8,1,Fan fault,
2024-01-23 18,20,14.69,35.45,0,100,50.18,49.29,1.75,0,0.75,1,Fan fault,
2024-01-23 19,20,15.75,33.19,0,21.25,51.4,46.41,1,0,0,1,Fan fault,
2024-01-24 06,20,15.42,22.66,0.25,10.21,44.99,45.9,2,0,1,1,Sensor fault,
2024-01-24 17,20,15.49,23.27,0,10,41.44,40.11,2,0,1,1,Fan fault,
2024-01-24 18,20,10.8,21.09,0,10,40.42,39.76,2,0,1,1,Fan fault,
2024-01-24 19,20,9.55,20.03,0,10,38,36.68,2,0,1,1,Fan fault,
2024-01-25 07,20,14.97,23.11,0.5,16.5,49.57,43.76,1.3,0,0.5,0.8,Sensor fault,
2024-01-25 11,19,22.11,24.44,1,10,48.34,44.95,1,0,0,1,Sensor fault,
2024-01-25 12,19,22.43,24.74,1,10,47.32,44.82,1,0,0,1,Sensor fault,
2024-01-25 13,19,22.8,25.12,1,10,46.58,44.99,1,0,0,1,Sensor fault,
2024-01-25 14,19,22.86,25.21,1,10,46.03,44.9,1,0,0,1,Sensor fault,
2024-01-25 15,19,22.36,25.18,0.75,10,45.53,42.56,1,0,0,1,Sensor fault,
2024-01-25 16,19,15,22.45,0,10,43.26,34.66,1,0,0,1,Fan fault,
2024-01-25 17,19,11.35,20.22,0,10,39.83,34.88,1,0,0,1,Fan fault,
2024-01-25 18,19,9.73,19.36,0,10,38.18,34.76,1,0,0,1,Fan fault,
2024-01-25 19,19,9.34,18.71,0,10,37.24,33.66,1,0,0,1,Fan fault,
2024-01-26 07,19,13.3,18.42,0.25,10,30.28,38.58,1,0,0,1,Sensor fault,
2024-01-26 08,19,22.19,25.04,1,10,40.85,46.31,1.5,0,0.5,1,Sensor fault,
2024-01-26 09,19,22.6,24.83,1,10,40.63,39.64,2,0,1,1,Sensor fault,
2024-01-26 10,19,22.72,25.1,1,10,40.84,39.75,2,0,1,1,Sensor fault,
2024-01-26 11,19,22.65,25.1,1,10,40.74,39.69,2,0,1,1,Sensor fault,
2024-01-26 12,19,22.83,25.3,1,10,40.69,39.8,2,0,1,1,Sensor fault,
2024-01-26 13,19,23.12,25.59,1,10,40.66,39.83,2,0,1,1,Sensor fault,
2024-01-26 14,19,23.23,25.66,1,10,40.74,39.92,2,0,1,1,Sensor fault,
2024-01-26 15,19,23.21,25.7,1,10,40.58,39.85,2,0,1,1,Sensor fault,
2024-01-26 16,19,23.12,25.62,0.75,10,40.7,39.81,1.75,0,0.75,1,Sensor fault,
2024-01-26 18,19,11.15,23.69,0,10,35.85,29.65,1,0,0,1,Fan fault,
2024-01-26 19,19,11.3,21.85,0,10,33.58,26.57,1,0,0,1,Fan fault,
2024-01-27 07,19,10.82,15.42,0,10,20.34,18.96,1,0,0,1,Fan fault,
2024-01-27 08,19,10.81,15.33,0,10,20.21,19.07,1,0,0,1,Fan fault,
2024-01-27 09,19,10.81,15.39,0,10,20.08,19.18,1,0,0,1,Fan fault,
2024-01-27 10,19,10.79,15.31,0,10,19.95,19.19,1,0,0,1,Fan fault,
2024-01-27 11,19,10.82,15.34,0,10,19.82,19.3,1,0,0,1,Fan fault,
2024-01-27 12,19,10.95,15.33,0,10,19.73,19.12,1,0,0,1,Fan fault,
2024-01-27 13,19,11.07,15.3,0,10,19.68,19.22,1,0,0,1,Fan fault,
2024-01-27 14,19,11.15,15.35,0,10,19.68,19.25,1,0,0,1,Fan fault,
2024-01-27 15,19,11.12,15.4,0,10,19.68,19.16,1,0,0,1,Fan fault,
2024-01-27 16,19,11.04,15.33,0,10,19.64,19.23,1,0,0,1,Fan fault,
2024-01-27 17,19,11.26,15.39,0,10,20.3,19.19,1,0,0,1,Fan fault,
2024-01-27 18,19,11.14,15.38,0,10,21,19.27,1,0,0,1,Fan fault,
